number,value,state,params_classification_loss,params_dropout,params_feature_normalization,params_hidden_dim,params_learning_rate,params_membership_topk,params_num_charts,params_seed,params_transportability_beta,params_weight_decay,user_attrs_dataset,user_attrs_last_intermediate_test,user_attrs_metric_name,user_attrs_resolved_params,user_attrs_run_dir,user_attrs_split_protocol,user_attrs_test_metric,user_attrs_validation_metric
0,0.03773584961891174,PRUNED,weighted_ce,0.1,none,64,0.00021708797465744292,2,3,470,1.0,0.004434664071892905,,0.03773584961891174,,,,,,
1,0.4716981053352356,PRUNED,cross_entropy,0.4,layernorm,128,0.0007296671764405778,1,2,463,1.0,0.00019855424222813234,,0.4528301954269409,,,,,,
2,,FAIL,weighted_ce,0.1,none,128,0.004949371718410307,1,3,232,2.0,0.0003539353163534052,,0.5849056839942932,,,,,,
3,0.6603773832321167,COMPLETE,weighted_ce,0.0,layernorm,256,0.00012568359857395009,1,2,56,2.0,0.00025264755605853504,hetgb_wisconsin,0.7735849022865295,accuracy,"{'learning_rate': 0.00012568359857395009, 'weight_decay': 0.00025264755605853504, 'dropout': 0.0, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 1, 'transportability_beta': 2.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 56}",outputs\oracle_upper_bound\runs\hetgb_wisconsin\trial_0003,stratified_60_20_20,0.6603773832321167,0.7547169923782349
4,0.03773584961891174,PRUNED,focal,0.0,none,64,0.00013094977105316857,1,3,835,0.25,0.006125827675036417,,0.03773584961891174,,,,,,
5,0.28301888704299927,PRUNED,weighted_ce,0.2,layernorm,64,0.00019174605411663692,2,3,158,0.5,0.008479055305976748,,0.28301888704299927,,,,,,
6,0.07547169923782349,PRUNED,focal,0.2,layernorm,128,0.0002056022216343343,1,2,28,2.0,1.3249482338353262e-05,,0.09433962404727936,,,,,,
7,0.8301886916160583,COMPLETE,focal,0.0,layernorm,128,0.00298774165199261,2,3,66,0.5,0.0002533102831787697,hetgb_wisconsin,0.849056601524353,accuracy,"{'learning_rate': 0.00298774165199261, 'weight_decay': 0.0002533102831787697, 'dropout': 0.0, 'hidden_dim': 128, 'num_charts': 3, 'membership_topk': 2, 'transportability_beta': 0.5, 'classification_loss': 'focal', 'feature_normalization': 'layernorm', 'seed': 66}",outputs\oracle_upper_bound\runs\hetgb_wisconsin\trial_0007,stratified_60_20_20,0.8301886916160583,0.7924528121948242
8,0.7735849022865295,COMPLETE,cross_entropy,0.2,layernorm,256,0.0007378823171365055,2,2,598,0.25,0.0005115321523759829,hetgb_wisconsin,0.7358490824699402,accuracy,"{'learning_rate': 0.0007378823171365055, 'weight_decay': 0.0005115321523759829, 'dropout': 0.2, 'hidden_dim': 256, 'num_charts': 2, 'membership_topk': 2, 'transportability_beta': 0.25, 'classification_loss': 'cross_entropy', 'feature_normalization': 'layernorm', 'seed': 598}",outputs\oracle_upper_bound\runs\hetgb_wisconsin\trial_0008,stratified_60_20_20,0.7735849022865295,0.8867924809455872
9,0.6226415038108826,COMPLETE,weighted_ce,0.1,layernorm,128,0.000780364032001287,2,1,19,0.0,4.440767851247589e-05,hetgb_wisconsin,0.6603773832321167,accuracy,"{'learning_rate': 0.000780364032001287, 'weight_decay': 4.440767851247589e-05, 'dropout': 0.1, 'hidden_dim': 128, 'num_charts': 1, 'membership_topk': 1, 'transportability_beta': 0.0, 'classification_loss': 'weighted_ce', 'feature_normalization': 'layernorm', 'seed': 19}",outputs\oracle_upper_bound\runs\hetgb_wisconsin\trial_0009,stratified_60_20_20,0.6226415038108826,0.6792452931404114
